date_captured,road_name,section_start,section_end,suburb,direction_1,vehicles_1,direction_2,vehicles_2,volume_per_day,85th_percentile_speed
2015-Jan,Butler Street,Jonas Street,Shelley Street,Richmond,East/North,192,West/South,261,453,28.4
2015-Jan,Rae Street,Liverpool Street,Scotchmer Street,Fitzroy North,East/North,1115,West/South,784,1899,40.7
2015-Jan,Rae Street,Reid Street,Scotchmer Street,Fitzroy North,East/North,955,West/South,1531,2486,40.7
2015-Jan,Shelley Street,Butler Street,Victoria Street,Richmond,East/North,1659,West/South,1638,3297,35.3
2010-Jan,Hood Street,Hoddle Street,Islington Street,Collingwood,East/North,438,West/South,12,450,32
2019-Feb,Fraser Street,Bridge Road,Corsair Street,Richmond,East/North,327,West/South,487,814,36.6
2019-Feb,Jamieson Street,McKean Street,Queens Parade,Fitzroy North,East/North,742,West/South,698,1440,38.6
2019-Feb,Laneway (rear of 106-160 Nicholson St),Gipps Street,Harper Street,Abbotsford,East/North,28,West/South,37,65,24.5
2019-Feb,Parkville Street,Stawell Street,Gibdon Street,Richmond,East/North,94,West/South,2,96,30.4
2019-Feb,ROW 374 (parralel to Canning Street),Curtain Street,Fenwick Street,Carlton North,East/North,29,West/South,11,40,35.04
2019-Feb,Stawell Street,Madden Grove,Parkville Street,Richmond,East/North,271,West/South,336,607,33.2
2018-Feb,Clifton Avenue,Ramsden Street,Roseneath Street,Clifton Hill,East/North,2,West/South,967,969,40
2018-Feb,Eddy Court,Stanton Street,main car park,Abbotsford,East/North,124,West/South,131,255,23
2018-Feb,Gibdon Street,Crimea Street,Parkville Street,Burnley,East/North,244,West/South,1992,2236,42
2018-Feb,Gibdon Street,Crimea Street,Parkville Street,Richmond,East/North,244,West/South,1992,2236,42.21
2018-Feb,Johnson Street,Jubilee Place,Lincoln Street,Richmond,East/North,926,West/South,357,1283,41.8
2018-Feb,Little Hoddle Street,Elizabeth Street,Victoria Street,Richmond,East/North,77,West/South,44,121,30.6
2018-Feb,MacPherson Street,McIlwraith Street,Wilson Street,Carlton North,East/North,1341,West/South,841,2182,46.4
2018-Feb,McKean Street,Delbridge Street,Michael Street,Fitzroy North,East/North,1110,West/South,1103,2213,43.6
2018-Feb,Rule Street,Bromham Place,Church Street,Richmond,East/North,512,West/South,3,515,36.4
2018-Feb,The Esplanade,Spensley Street,Walker Street,Clifton Hill,East/North,717,West/South,534,1251,43
2018-Feb,Walker Street,Dwyer Street,Fenwick Street,Clifton Hill,East/North,345,West/South,431,776,45.7
2018-Feb,Walker Street,Dwyer Street,The Esplanade,Clifton Hill,East/North,665,West/South,513,1178,48.6
2018-Feb,Wright Street,Dwyer Street,Yambla Street,Clifton Hill,East/North,634,West/South,491,1125,42.8
2018-Feb,Yarra Street,Hunter Street,Paterson Street,Abbotsford,East/North,104,West/South,162,266,34.4
2017-Feb,Barkly Street,Dean Street,Melville Street,Fitzroy North,East/North,700,West/South,748,1448,37.4
2017-Feb,Berry Street,Church Street,Waltham Street,Richmond,East/North,6,West/South,105,111,31.4
2017-Feb,Budd Street,Alexandra Parade,Mater Street,Collingwood,East/North,205,West/South,64,269,40.7
2017-Feb,Dean Street,Barkly Street,Holden Street,Fitzroy North,East/North,1065,West/South,399,1464,39.6
2017-Feb,Easey Street,Gold Street,Wellington Street,Collingwood,East/North,408,West/South,312,720,43.6
2017-Feb,Easey Street,Gold Street,Hoddle Street,Collingwood,East/North,444,West/South,315,759,43.6
2017-Feb,Gold Street,Alexandra Parade,Mater Street,Collingwood,East/North,353,West/South,228,581,38.5
2017-Feb,Gold Street,Hotham Street,Mater Street,Collingwood,East/North,414,West/South,409,823,40
2017-Feb,Grattan Place,Richmond Terrace,Rowena Parade,Richmond,East/North,2,West/South,141,143,25.6
2017-Feb,Grattan Place,Richmond Terrace,Rowena Parade,Richmond,East/North,3,West/South,141,144,20.9
2017-Feb,Holtom Street West,Arnold Street,Bowen Crescent,Carlton North,East/North,529,West/South,555,1084,37.1
2017-Feb,Hotham Street,Gold Street,Hoddle Street,Collingwood,East/North,309,West/South,447,756,42.5
2017-Feb,Hotham Street,Budd Street,Smith Street,Collingwood,East/North,353,West/South,501,854,37.1
2017-Feb,Hotham Street,Emma Street,Wellington Street,Collingwood,East/North,384,West/South,533,917,37.1
2017-Feb,Hotham Street,Charlotte Street,Wellington Street,Collingwood,East/North,541,West/South,497,1038,41
2017-Feb,Keele Street,Gold Street,Wellington Street,Collingwood,East/North,527,West/South,363,890,37.8
2017-Feb,Lane number 245.1,Singleton Street,Vere Street,Collingwood,East/North,3,West/South,4,7,22
2017-Feb,Lane number 245.1,Gipps Street,Singleton Street,Collingwood,East/North,46,West/South,135,181,18.7
2017-Feb,MacPherson Street,Arnold Street,Wilson Street,Carlton North,East/North,934,West/South,285,1219,43.2
2017-Feb,Masons Lane,Johnston Street,Valiant Street,Abbotsford,East/North,4,West/South,10,14,18
2017-Feb,Moor Street,George Street,Napier Street,Fitzroy,East/North,1285,West/South,1185,2470,35.6
2017-Feb,Newry Street,Canning Street,Rathdowne Street,Carlton North,East/North,368,West/South,398,766,42.1
2017-Feb,Pilkington Street,Barkly Street,Holden Street,Fitzroy North,East/North,299,West/South,336,635,40.7
2017-Feb,Ramsden Street,Berry Street,Fenwick Street,Clifton Hill,East/North,858,West/South,1040,1898,38.9
2017-Feb,Rose Street,Coppin Street,Rooney Street,Richmond,East/North,174,West/South,26,200,31
2017-Feb,Rose Street,Brunswick Street,Fitzroy Street,Fitzroy,East/North,693,West/South,791,1484,25.2
2017-Feb,Sackville Street,Gold Street,Wellington Street,Collingwood,East/North,962,West/South,347,1309,40.7
2017-Feb,Scotchmer Street,Nicholson Street,Rae Street,Fitzroy North,East/North,2745,West/South,3235,5980,42.5
2017-Feb,Trenerry Crescent,Abbott Street,Turner Street,Abbotsford,East/North,4093,West/South,2815,6908,39.6
2017-Feb,York Street,New Street,Regent Street,Richmond,East/North,882,West/South,581,1463,34.9
2016-Feb,Canning Street,Davis Street,Lee Street,Carlton North,East/North,352,West/South,395,747,37.1
2016-Feb,Davis Street,Canning Street,Rathdowne Street,Carlton North,East/North,545,West/South,247,792,46.1
2016-Feb,Dover Street,Fitzgibbon Street,Kelso Street,Richmond,East/North,4,West/South,608,612,38.5
2016-Feb,Hodgkinson Street,Smith Street,Wellington Street,Clifton Hill,East/North,356,West/South,483,839,36.4
2016-Feb,Hotham Street,Gold Street,Hoddle Street,Collingwood,East/North,309,West/South,446,755,42.5
2016-Feb,Lane number 213,Little Oxford Street,Oxford Street,Collingwood,East/North,3,West/South,14,17,14
2016-Feb,Lee Street,Canning Street,Rathdowne Street,Carlton North,East/North,4,West/South,308,312,33.5
2016-Feb,Lee Street,Canning Street,Station Street,Carlton North,East/North,336,West/South,599,935,35.3
2016-Feb,Station Street,Lee Street,Newry Street,Carlton North,East/North,164,West/South,739,903,39.2
2016-Feb,Wellington Street,Derby Street,Victoria Parade,Collingwood,East/North,3842,West/South,4713,8555,36
2016-Feb,Wellington Street,Derby Street,Langridge Street,Collingwood,East/North,4727,West/South,4829,9556,39.6
2016-Feb,Wellington Street,Gipps Street,Peel Street,Collingwood,East/North,5528,West/South,6793,12321,40.3
2015-Feb,Albert Street,Brighton Street,Church Street,Richmond,East/North,684,West/South,471,1155,38.5
2015-Feb,Arnold Street,Paterson Street,Richardson Street,Carlton North,East/North,1,West/South,413,414,31.7
2015-Feb,Arnold Street,Paterson Street,Pigdon Street,Carlton North,East/North,392,West/South,357,749,38.5
2015-Feb,Bowen Crescent,Garton Street,Pigdon Street,Carlton North,East/North,1468,West/South,1001,2469,38.2
2015-Feb,Bowen Crescent,Holtom Street West,Pigdon Street,Carlton North,East/North,3570,West/South,3756,7326,33.8
